"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.595906954E0,1.972822189E0,1.331176162E0,2.140416336E1,2.153606897E1
1.600942351E0,7.374141216E-1,1.551442742E0,2.167231369E1,2.174028369E1
1.605977746E0,8.619125932E-2,1.532289028E0,2.149035454E1,2.154508475E1
1.610982625E0,-4.884171486E-1,1.465251446E0,2.102109146E1,2.107775603E1
1.616018020E0,-1.015141487E0,1.110909581E0,2.029325294E1,2.034897411E1
1.621053417E0,-1.781286120E0,8.044517636E-1,1.958456993E1,1.968185719E1
1.626088812E0,-2.365471363E0,6.799532771E-1,1.867477417E1,1.883626772E1
1.631093691E0,-2.892195702E0,6.703764796E-1,1.770751572E1,1.795467386E1
1.636129086E0,-3.399766445E0,7.757213712E-1,1.664448929E1,1.700585720E1
1.641164483E0,-3.629609823E0,1.101332784E0,1.538992882E1,1.585045458E1
1.646199878E0,-3.667917013E0,1.379060149E0,1.421198082E1,1.474231396E1
